Node Name  Event Type  Timestamp        Packet Type  Pkt. No  Seq. No  Source  Dest  
CLIENT     S           11:39:05.831107  DATA         14       1300     CLIENT  RELAY1
RELAY1     S           11:39:05.833015  DATA         14       1300     RELAY1  SERVER
SERVER     R           11:39:05.833020  DATA         14       1300     RELAY1  SERVER
SERVER     S           11:39:05.833959  ACK          14       1300     SERVER  RELAY1
RELAY1     R           11:39:05.834009  ACK          14       1300     SERVER  RELAY1
SERVER     R           11:39:05.834545  DATA         13       1200     RELAY2  SERVER
RELAY2     S           11:39:05.834575  DATA         13       1200     RELAY2  SERVER
RELAY1     S           11:39:05.834806  ACK          14       1300     RELAY1  CLIENT
CLIENT     R           11:39:05.834827  ACK          14       1300     RELAY1  CLIENT
SERVER     S           11:39:05.834965  ACK          13       1200     SERVER  RELAY2
RELAY2     R           11:39:05.835102  ACK          13       1200     SERVER  RELAY2
RELAY2     S           11:39:05.835670  ACK          13       1200     RELAY2  CLIENT
CLIENT     R           11:39:05.835696  ACK          13       1200     RELAY2  CLIENT
CLIENT     TO          11:39:07.838181  DATA         12       1100     CLIENT  RELAY1
CLIENT     RE          11:39:07.839261  DATA         12       1100     CLIENT  RELAY1
RELAY1     R           11:39:07.839337  DATA         12       1100     CLIENT  RELAY1
RELAY1     S           11:39:07.840826  DATA         12       1100     RELAY1  SERVER
SERVER     R           11:39:07.840831  DATA         12       1100     RELAY1  SERVER
SERVER     S           11:39:07.841479  ACK          12       1100     SERVER  RELAY1
RELAY1     R           11:39:07.841465  ACK          12       1100     SERVER  RELAY1
RELAY1     S           11:39:07.842113  ACK          12       1100     RELAY1  CLIENT
CLIENT     R           11:39:07.842201  ACK          12       1100     RELAY1  CLIENT
CLIENT     S           11:39:07.842711  DATA         15       1400     CLIENT  RELAY2
RELAY2     R           11:39:07.842748  DATA         15       1400     CLIENT  RELAY2
CLIENT     S           11:39:07.843092  DATA         16       1500     CLIENT  RELAY1
RELAY1     R           11:39:07.843119  DATA         16       1500     CLIENT  RELAY1
CLIENT     S           11:39:07.843418  DATA         17       1600     CLIENT  RELAY2
SERVER     R           11:39:07.844768  DATA         15       1400     RELAY2  SERVER
RELAY2     S           11:39:07.844768  DATA         15       1400     RELAY2  SERVER
SERVER     S           11:39:07.845257  ACK          15       1400     SERVER  RELAY2
RELAY2     R           11:39:07.845419  DATA         17       1600     CLIENT  RELAY2
RELAY1     S           11:39:07.845981  DATA         16       1500     RELAY1  SERVER
SERVER     R           11:39:07.846060  DATA         16       1500     RELAY1  SERVER
RELAY2     S           11:39:07.846705  DATA         17       1600     RELAY2  SERVER
RELAY1     R           11:39:07.846838  ACK          16       1500     SERVER  RELAY1
SERVER     S           11:39:07.846816  ACK          16       1500     SERVER  RELAY1
RELAY2     R           11:39:07.847434  ACK          15       1400     SERVER  RELAY2
RELAY1     S           11:39:07.847820  ACK          16       1500     RELAY1  CLIENT
CLIENT     R           11:39:07.847824  ACK          16       1500     RELAY1  CLIENT
SERVER     R           11:39:07.848138  DATA         17       1600     RELAY2  SERVER
RELAY2     S           11:39:07.848277  ACK          15       1400     RELAY2  CLIENT
SERVER     S           11:39:07.848816  ACK          17       1600     SERVER  RELAY2
RELAY2     R           11:39:07.848883  ACK          17       1600     SERVER  RELAY2
RELAY2     S           11:39:07.849275  ACK          17       1600     RELAY2  CLIENT
CLIENT     R           11:39:07.848597  ACK          15       1400     RELAY2  CLIENT
CLIENT     S           11:39:07.850444  DATA         18       1700     CLIENT  RELAY1
RELAY1     R           11:39:07.850456  DATA         18       1700     CLIENT  RELAY1
CLIENT     S           11:39:07.850931  DATA         19       1800     CLIENT  RELAY2
RELAY2     R           11:39:07.850957  DATA         19       1800     CLIENT  RELAY2
CLIENT     R           11:39:07.851301  ACK          17       1600     RELAY2  CLIENT
CLIENT     S           11:39:07.851691  DATA         20       1900     CLIENT  RELAY1
RELAY1     S           11:39:07.852351  DATA         18       1700     RELAY1  SERVER
SERVER     R           11:39:07.852357  DATA         18       1700     RELAY1  SERVER
RELAY1     R           11:39:07.852746  DATA         20       1900     CLIENT  RELAY1
SERVER     S           11:39:07.852825  ACK          18       1700     SERVER  RELAY1
SERVER     R           11:39:07.853205  DATA         19       1800     RELAY2  SERVER
RELAY2     S           11:39:07.853152  DATA         19       1800     RELAY2  SERVER
RELAY1     S           11:39:07.853297  DATA         20       1900     RELAY1  SERVER
SERVER     S           11:39:07.853764  ACK          19       1800     SERVER  RELAY2
RELAY2     R           11:39:07.854066  ACK          19       1800     SERVER  RELAY2
RELAY1     R           11:39:07.854334  ACK          18       1700     SERVER  RELAY1
SERVER     R           11:39:07.854621  DATA         20       1900     RELAY1  SERVER
RELAY1     S           11:39:07.854944  ACK          18       1700     RELAY1  CLIENT
RELAY2     S           11:39:07.854831  ACK          19       1800     RELAY2  CLIENT
CLIENT     R           11:39:07.854848  ACK          19       1800     RELAY2  CLIENT
SERVER     S           11:39:07.855201  ACK          20       1900     SERVER  RELAY1
RELAY1     R           11:39:07.855407  ACK          20       1900     SERVER  RELAY1
CLIENT     R           11:39:07.855593  ACK          18       1700     RELAY1  CLIENT
RELAY1     S           11:39:07.855917  ACK          20       1900     RELAY1  CLIENT
CLIENT     S           11:39:07.856130  DATA         21       2000     CLIENT  RELAY2
RELAY2     R           11:39:07.856175  DATA         21       2000     CLIENT  RELAY2
CLIENT     S           11:39:07.856546  DATA         22       2100     CLIENT  RELAY1
RELAY1     R           11:39:07.856606  DATA         22       2100     CLIENT  RELAY1
CLIENT     R           11:39:07.856958  ACK          20       1900     RELAY1  CLIENT
CLIENT     S           11:39:07.857458  DATA         23       2200     CLIENT  RELAY2
RELAY1     S           11:39:07.857768  DATA         22       2100     RELAY1  SERVER
RELAY2     S           11:39:07.858090  DATA         21       2000     RELAY2  SERVER
RELAY2     R           11:39:07.859745  DATA         23       2200     CLIENT  RELAY2
SERVER     R           11:39:07.857782  DATA         22       2100     RELAY1  SERVER
SERVER     S           11:39:07.860989  ACK          22       2100     SERVER  RELAY1
RELAY1     R           11:39:07.860997  ACK          22       2100     SERVER  RELAY1
RELAY2     S           11:39:07.861139  DATA         23       2200     RELAY2  SERVER
SERVER     R           11:39:07.861391  DATA         21       2000     RELAY2  SERVER
RELAY1     S           11:39:07.861473  ACK          22       2100     RELAY1  CLIENT
CLIENT     R           11:39:07.861494  ACK          22       2100     RELAY1  CLIENT
SERVER     S           11:39:07.861857  ACK          21       2000     SERVER  RELAY2
RELAY2     R           11:39:07.861879  ACK          21       2000     SERVER  RELAY2
SERVER     R           11:39:07.862320  DATA         23       2200     RELAY2  SERVER
RELAY2     S           11:39:07.862465  ACK          21       2000     RELAY2  CLIENT
CLIENT     R           11:39:07.862468  ACK          21       2000     RELAY2  CLIENT
SERVER     S           11:39:07.862698  ACK          23       2200     SERVER  RELAY2
RELAY2     R           11:39:07.862829  ACK          23       2200     SERVER  RELAY2
CLIENT     S           11:39:07.862984  DATA         24       2300     CLIENT  RELAY1
RELAY1     R           11:39:07.863055  DATA         24       2300     CLIENT  RELAY1
RELAY2     S           11:39:07.863329  ACK          23       2200     RELAY2  CLIENT
CLIENT     S           11:39:07.863586  DATA         25       2400     CLIENT  RELAY2
RELAY2     D           11:39:07.863796  DATA         25       2400     CLIENT  RELAY2
CLIENT     R           11:39:07.864108  ACK          23       2200     RELAY2  CLIENT
CLIENT     S           11:39:07.864532  DATA         26       2434     CLIENT  RELAY1
RELAY1     S           11:39:07.865380  DATA         24       2300     RELAY1  SERVER
SERVER     R           11:39:07.865398  DATA         24       2300     RELAY1  SERVER
RELAY1     R           11:39:07.865794  DATA         26       2434     CLIENT  RELAY1
SERVER     S           11:39:07.865885  ACK          24       2300     SERVER  RELAY1
SERVER     R           11:39:07.867362  DATA         26       2434     RELAY1  SERVER
RELAY1     S           11:39:07.867365  DATA         26       2434     RELAY1  SERVER
SERVER     S           11:39:07.867914  ACK          26       2434     SERVER  RELAY1
RELAY1     R           11:39:07.867981  ACK          24       2300     SERVER  RELAY1
RELAY1     S           11:39:07.868537  ACK          24       2300     RELAY1  CLIENT
CLIENT     R           11:39:07.868575  ACK          24       2300     RELAY1  CLIENT
RELAY1     R           11:39:07.869243  ACK          26       2434     SERVER  RELAY1
RELAY1     S           11:39:07.870086  ACK          26       2434     RELAY1  CLIENT
CLIENT     R           11:39:07.870161  ACK          26       2434     RELAY1  CLIENT
CLIENT     TO          11:39:09.872764  DATA         25       2400     CLIENT  RELAY2
CLIENT     RE          11:39:09.873936  DATA         25       2400     CLIENT  RELAY2
RELAY2     R           11:39:09.874004  DATA         25       2400     CLIENT  RELAY2
RELAY2     S           11:39:09.876490  DATA         25       2400     RELAY2  SERVER
SERVER     R           11:39:09.876519  DATA         25       2400     RELAY2  SERVER
SERVER     S           11:39:09.877132  ACK          25       2400     SERVER  RELAY2
RELAY2     R           11:39:09.877140  ACK          25       2400     SERVER  RELAY2
RELAY2     S           11:39:09.877664  ACK          25       2400     RELAY2  CLIENT
CLIENT     R           11:39:09.877682  ACK          25       2400     RELAY2  CLIENT
